A,B,C,D,E,F,G,Y
0.14922495,0.44991505,0.10066798,0.28898866,0.30614956,0.57144949,0.59224244,0.63896335
0.16120001,0.51899836,0.45130907,0.99250157,0.42347643,0.66139009,0.29904174,1.03209260
0.05275579,0.19425445,0.23555932,0.00682762,0.57880175,0.29288923,0.21534794,0.07837380
0.04701317,0.31402438,0.54567817,0.79912337,0.95535523,0.66230324,0.03442659,0.50663489
0.94842830,0.72951216,0.13828044,0.52580117,0.08946524,0.50785894,0.23570005,1.87546216
0.09129179,0.95900778,0.77396627,0.04202127,0.34713457,0.59310911,0.24933643,0.67161995
0.50835168,0.15210287,0.92391257,0.66318993,0.87010550,0.28900143,0.74721044,0.40072028
0.11862982,0.05064353,0.31935922,0.70245780,0.82568874,0.74581636,0.51625419,0.43337175
0.21478785,0.06745267,0.35447857,0.69961621,0.11194868,0.14931203,0.77313548,0.64756688
0.76307207,0.43547177,0.59808524,0.69593084,0.67579749,0.48079284,0.28623073,1.23759729
